mid,ld,vrn,y,m,mo,ec,col,dd,tld,pav,rc,amfv,pn,ddob,ft,d,s,id
4955973141962,12/01/2020 1:20:09,DNW 2413,10/04/2022 4:02:24,Tesla,Civic,3663,Olive,Fender bender scuffs,Repair,36938871,18715533,86828,CHB719755SA,09/05/2018,PETROL/LPG,2,2,27/12/2022
8841361463804,18/12/2019 21:46:19,FXK 7641,09/08/2019 6:23:07,Toyota,Yukon,2602,Turquoise,Roof sill chip,TotalLoss,69950643,649502994,67062,WZE412978TX,04/07/2022,PETROL/ELECTRIC,3,8,06/03/2022
3122730887917,12/02/2018 10:23:34,WTT 8434,26/08/2020 8:00:37,Acura,GranTurismo,3528,Beige,Broken side mirror sill,Repair,14645436,7110570,52015,IWV778235XD,10/08/2019,DIESEL/MHEV,5,9,01/08/2015
7987475851115,27/07/2015 6:41:04,XNU 4793,03/09/2019 8:34:09,Bugatti,XF,4210,Blue,Front bumper scrape,TotalLoss,4739408,22299953,38139,ZOC445880PL,30/09/2019,PETROL/LPG,2,0,21/05/2023
6215988653183,11/03/2020 2:55:32,RBN 8656,08/07/2016 20:43:19,Ferrari,1500,1816,Beige,Roof rack dent,TotalLoss,93968059,503518937,77386,PRC727112OV,01/01/2021,DIESEL,5,5,13/05/2017
5694929541063,06/10/2022 4:45:52,OLD 2315,10/05/2015 14:59:44,Dodge,Renegade,2408,Orange,Roof rack chip,TotalLoss,90434687,407288598,7585,PRC188289TJ,01/08/2021,ELECTRIC,4,4 ,28/03/2016
2190814712325,23/01/2017 13:26:25,NBU 8257,18/01/2021 13:13:17,Volvo,S60,4192,Charcoal,Fender bender scrape,Repair,31286424,23404815,98010,WZE751376KX,13/05/2018,PETROL,3,3,17/02/2017
4399113245353,08/03/2016 0:35:38,NVQ 1545,04/07/2018 18:55:55,Acura,Renegade,2430,Black,Roof rack dent,TotalLoss,57996573,187759519,37151,CHB570829OC,08/08/2017,DIESEL/MHEV,5,5,09/04/2016
7766486462414,10/06/2019 5:38:12,RVE 2274,11/02/2016 9:50:56,McLaren,XT5,822,Lavender,Scratched quarter sill,Repair,51390726,29406040,5367,CHB329695RY,08/03/2016,DIESEL,0,6,15/04/2023
6208167037800,04/07/2022 9:02:16,LRS 5048,31/08/2017 6:55:22,Ram,500,3134,Pink,Roof rack scratch,TotalLoss/Repair,89037460,106866413.4,8844,PRC631140MP,31/01/2021,DIESEL/MHEV,4,4 ,29/06/2020
5120489932818,03/10/2018 4:59:58,ZKP 0562,21/08/2020 1:59:25,Subaru,Wrangler,4374,Ruby,Roof rack dent,TotalLoss/Repair,3417024,4213511.8,22918,CHB227381KS,03/05/2017,PETROL/ALCOHOL,5,3,20/05/2021
4999320670101,08/02/2016 13:54:59,ESU 9641,22/06/2017 13:23:31,Kia,Impreza,1575,Maroon,Fender bender dent,TotalLoss/Repair,88702790,113508237.3,70716,WZE556618HN,11/10/2020,PETROL/LPG,2,8,30/08/2018
